speaker,phrase,variant,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,rolloff_mean,centroid_mean,zcr_mean,rms_mean
arsene,approve,original,-433.0603332519531,98.68161010742188,86.78087615966797,78.50225067138672,17.39820098876953,32.44525909423828,42.77156066894531,36.16883850097656,-1.4248714447021484,21.366287231445312,11.665492057800293,32.562286376953125,4.134092330932617,17.21385955810547,6.335243225097656,8.604043960571289,-7.21993350982666,14.262667655944824,10.886749267578125,10.689711570739746,-5.335239410400391,19.823259353637695,2.4598591327667236,11.616751670837402,1.1739256381988525,10.70514965057373,3925.921630859375,2238.255081517655,0.129150390625,0.023246275261044502
arsene,confirm,original,-450.7735900878906,155.39849853515625,113.13873291015625,54.556671142578125,0.19886764883995056,29.08805274963379,12.843193054199219,22.478269577026367,2.964282512664795,20.25859260559082,12.242775917053223,17.64588165283203,9.506305694580078,13.654224395751953,1.0902329683303833,11.35354995727539,1.039029598236084,10.07095718383789,1.6187338829040527,9.917040824890137,1.5579332113265991,10.029440879821777,12.9766845703125,8.42486572265625,-0.4995741844177246,9.01381778717041,3506.24688331117,1750.4241554362036,0.0718240940824468,0.018868746235966682
arsene,approve,pitch,-419.3323669433594,75.59721374511719,87.06043243408203,84.5256576538086,26.518550872802734,36.17732238769531,40.48910903930664,38.98433303833008,-11.862321853637695,18.92780113220215,6.596615314483643,29.504684448242188,0.6194943785667419,22.885534286499023,2.2090439796447754,15.633309364318848,-5.9473700523376465,11.353501319885254,7.251522064208984,10.794524192810059,-15.538214683532715,21.526695251464844,9.613265991210938,9.647115707397461,-11.923004150390625,12.178834915161133,4137.2589111328125,2397.2298279931847,0.14529854910714285,0.022508909925818443
arsene,approve,stretch,-418.2603759765625,70.53407287597656,91.22952270507812,82.67668151855469,22.49551773071289,30.085826873779297,49.723934173583984,38.28339767456055,-8.076716423034668,20.62908172607422,6.610500335693359,33.99483871459961,0.3637830317020416,19.328523635864258,7.294315814971924,8.185587882995605,-10.408720016479492,13.519352912902832,9.04296875,10.014339447021484,-9.392156600952148,18.9556941986084,0.16700786352157593,12.796457290649414,2.2040748596191406,8.378902435302734,3919.04296875,2245.716502379493,0.13111514136904762,0.02186981774866581
arsene,approve,noise,-277.9314270019531,35.54610061645508,26.705760955810547,36.98406982421875,19.56328582763672,17.258188247680664,17.700763702392578,20.934757232666016,3.6007754802703857,13.960436820983887,2.1082913875579834,14.158026695251465,0.988193929195404,9.357142448425293,1.7878698110580444,5.097590446472168,-1.0723283290863037,7.813527584075928,1.128577709197998,5.84429407119751,-1.5291292667388916,8.775962829589844,-2.293351888656616,7.157481670379639,-0.27873528003692627,6.2359619140625,8097.08251953125,4222.995401757635,0.2754652235243056,0.024748293682932854
arsene,confirm,pitch,-397.8955078125,102.05648803710938,119.37179565429688,49.42241668701172,-9.939760208129883,30.437618255615234,8.794450759887695,22.71404457092285,-3.84670352935791,20.20507049560547,13.862373352050781,14.085708618164062,1.1682441234588623,17.833831787109375,-1.3913629055023193,11.384653091430664,-1.9222092628479004,9.714966773986816,1.9183627367019653,11.848884582519531,5.74774694442749,10.565618515014648,7.666187763214111,7.264594078063965,-18.34742546081543,10.548439025878906,3348.114013671875,1718.0632005148327,0.07613118489583333,0.01907680742442608
arsene,confirm,stretch,-406.8331604003906,109.46803283691406,123.70661163330078,46.94970703125,-3.5764551162719727,26.38378143310547,9.255481719970703,20.587284088134766,-4.589765548706055,20.57135772705078,10.466691970825195,19.489229202270508,6.0373406410217285,15.253729820251465,-0.3936018645763397,10.627787590026855,-2.5667500495910645,10.21718978881836,-1.2023489475250244,9.583035469055176,0.11412995308637619,10.300405502319336,15.367555618286133,7.272956848144531,-1.7372535467147827,7.624485492706299,3200.8707682291665,1636.981938898836,0.07402886284722222,0.015481365844607353
arsene,confirm,noise,-272.86883544921875,39.81885528564453,35.50761032104492,37.13204574584961,11.50812816619873,18.686038970947266,2.2905240058898926,14.465765953063965,0.31134024262428284,13.401387214660645,5.1964616775512695,11.244997024536133,4.478847503662109,6.911710739135742,1.3454135656356812,6.506009578704834,-0.740868091583252,6.367858409881592,0.3428685963153839,4.814316749572754,2.611335515975952,5.997160911560059,4.42138671875,6.411106109619141,0.784220278263092,4.7872819900512695,8215.604222074468,4126.766737871511,0.27403486535904253,0.020654572173953056
hamed,confirm,original,-455.5198059082031,105.10136413574219,137.63284301757812,58.40328598022461,-23.389190673828125,32.32770919799805,28.308643341064453,15.342001914978027,21.41257095336914,16.768131256103516,-2.775860548019409,16.13739776611328,-2.7110636234283447,12.032103538513184,0.4316863715648651,11.6217622756958,-10.888737678527832,10.604011535644531,-6.822764873504639,9.668220520019531,-0.44071921706199646,7.726059913635254,-4.44480037689209,7.273150444030762,-4.884054660797119,6.963033676147461,2585.77880859375,1369.6906701103956,0.06643880208333333,0.020127786323428154
hamed,approve,original,-473.8807678222656,93.2843246459961,117.31513977050781,67.87366485595703,-12.073103904724121,26.211423873901367,28.347553253173828,22.653995513916016,23.594383239746094,14.627057075500488,-2.4864964485168457,19.340015411376953,-6.038935661315918,15.902812957763672,3.7506983280181885,12.237648010253906,-13.624794006347656,9.788454055786133,-7.180389404296875,14.357614517211914,-1.557210087776184,9.8562593460083,-2.760789394378662,9.978788375854492,-1.234006643295288,6.952871322631836,2947.0341796875,1697.0095029024628,0.111298828125,0.019725121557712555
